Authors,Author full names,Author(s) ID,Title,Year,Link,Abstract,Publisher
Reeves L.E.; Bolton E.; Bulpitt M.; Scott A.; Tomey I.; Gates M.; Baldock R.A.,"Reeves, Laura E. (57221692906); Bolton, Edward (57221689174); Bulpitt, Matthew (57221695515); Scott, Alex (57221702301); Tomey, Ian (57221691822); Gates, Micah (57221701049); Baldock, Robert A. (57221703833)",57221692906; 57221689174; 57221695515; 57221702301; 57221691822; 57221701049; 57221703833,Use of augmented reality (Ar) to aid bioscience education and enrich student experience,2021,https://www.scopus.com/pages/publications/85099840364?origin=resultslist,"In recent years, development of new technologies designed to enhance user experience have accelerated, often being used in modern media such as in films and games. Specifically, immersive experiences, such as virtual reality (VR) and augmented reality (AR), have redefined how digital media can be delivered, encour-aging us to interact with and explore our environment. Reciprocally, as the power of these technologies has advanced, the associated costs to implement them have decreased, making them more cost-effective and feasible to deliver in a variety of settings. Despite the cost reduction, several issues remain with accessibility due to the knowledge base required to generate, optimise and deliver three-dimen-sional (3D)-digital content in both AR and VR. Here, we sought to integrate an AR-based experience into a level-4 biochemistry module in order to support the delivery of university lectures on protein structure and function. Traditionally, this topic would comprise two-dimensional still images of complex 3D structures. By combining a breadth of subject-specific and technological expertise from across the university, we developed an AR-enhanced learning experience hosted on the Zapworks AR platform. AR enabled full illustration of the complexity of these 3D structures, while promoting collaboration through a shared user experi-ence. Assessing the impact of the AR experience via a formative test and survey revealed that despite only a modest increase in test performance, students over-whelmingly reported positively on the engaging nature and interactivity of AR. Critically, expanding our repertoire of content delivery formats will support the forward-thinking blended learning environments adopted across the higher education sector. © 2021, Association for Learning Technology. All rights reserved.",Association for Learning Technology
Murphy M.; Ortega M.L.; Moser P.; Feiel S.,"Murphy, Mariaelena (57199172828); Ortega, Manuel Labrador (57216935226); Moser, Peter (7102945424); Feiel, Susanne (57201155199)",57199172828; 57216935226; 7102945424; 57201155199,Education 4.0: MiReBooks - Development and Usage of Mixed Reality for Teaching Mining in Higher Education,2023,https://www.scopus.com/pages/publications/85173923224?origin=resultslist,"In order to meet workplace demands in relation to Industry 4.0, the MiReBooks project was established in 2019. The main focus of this paper is to present the project's outcomes in the field of Education 4.0 whereby, Mixed Reality (MR) Mining Engineering educational material was developed for teachers, this in order to integrate MR in classroom instruction with the aim to enhance student understanding and application of knowledge to increase their competence in the specific field of the subject. An account of a MR application in a mining lecture is presented, together with student feedback, providing grounds to ascertain that the integration of such technology can improve student learning in the achievement of lesson/course Learning Outcomes. © 2023 International Conference on Higher Education Advances. All rights reserved.",Universidad Politecnica de Valencia.
Muangchan P.; Yanhua Z.,"Muangchan, Pattanasak (59498229700); Yanhua, Zhao (57695728600)",59498229700; 57695728600,Augmented reality technology in a basic Chinese vocabulary course: a study in a Thai university,2025,https://www.scopus.com/pages/publications/85213964825?origin=resultslist,"Augmented Reality (AR) impacts various aspects of life, including education. For instance, AR is beneficial for teaching Chinese vocabulary to second-language learners. The primary objective of this study was to compare the achievement of first-year General Education (GE) students in Thailand in learning basic Chinese vocabulary through Augmented Reality (AR) and to evaluate their overall satisfaction with the Augmented Reality (AR) learning experience. The research employed an experimental design, establishing causality with controlled conditions and systematic variable manipulation. Simple random sampling was utilized, involving 180 students aged 18 to 21 from diverse majors, including English, marketing, communication arts, medical technology, veterinary science, and pharmacy. Of these, 58 students participated, and the group was divided into experimental and control groups. The results indicated that using Augmented Reality (AR) for teaching Chinese vocabulary led to improved achievement and might enhance comprehension, memorability, and retention compared to traditional methods. Additionally, qualitative findings revealed opportunities and challenges associated with employing Augmented Reality (AR) in teaching and learning. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Taylor and Francis Ltd.
Aindow A.M.; Baines A.; Mccaffery T.; O’Neill S.; Salido F.R.M.; Collyer-Hoar G.; Limbert G.; Rubegni E.; Karnik A.,"Aindow, Autumn May (60053892400); Baines, Alexander (59210009100); Mccaffery, Toby (60053892500); O’Neill, Sterling (60054369800); Salido, Frolynne Rose Martinez (60054681900); Collyer-Hoar, Gail (59210716800); Limbert, George (60054682000); Rubegni, Elisa (6504458714); Karnik, Abhijit (39061631400)",60053892400; 59210009100; 60053892500; 60054369800; 60054681900; 59210716800; 60054682000; 6504458714; 39061631400,“Case By Case”: Investigating the Use of a VR-Based Allegorical Serious Game for Consent Education,2024,https://www.scopus.com/pages/publications/105013635170?origin=resultslist,"The topic of consent within interpersonal relationships is sensitive and complex. A serious game can provide a safe medium for the exploration of the topic of consent. In this paper, we aim to alleviate the challenges of designing a serious game artefact with the implicit goal of exploring the topic of consent. The resulting artefact, “Case By Case”, is a VR-based serious game targeting university students, which uses an allegory-based approach to achieve its goal. The participants play the role of a detective who is tasked with determining if individuals have committed theft, which serves as an allegory for breach of consent. “Case By Case” provides the users an opportunity to reflect on their decisions within the game and apply them to the complex situations of consent such as victim-blaming and bystander awareness. To evaluate the effectiveness of the game in achieving its implicit goal, we ran a user study (n = 24). The results show that “Case By Case” provided a safe environment for the users to reflect on the concept of consent and increase their understanding about the topic further. © 2024 by the authors.",Multidisciplinary Digital Publishing Institute (MDPI)
Asad M.M.; Naz A.; Churi P.; Guerrero A.J.M.; Salameh A.A.,"Asad, Muhammad Mujtaba (57203360700); Naz, Aisha (57359306600); Churi, Prathamesh (57188831747); Guerrero, Antonio José Moreno (57218897004); Salameh, Anas A. (57215844707)",57203360700; 57359306600; 57188831747; 57218897004; 57215844707,Mix Method Approach of Measuring VR as a Pedagogical Tool to Enhance Experimental Learning: Motivation from Literature Survey of Previous Study,2022,https://www.scopus.com/pages/publications/85127959313?origin=resultslist,"This research has been experimented on our previous literature review. Technological advancement has prevailed in the modern era from the 20th century. Artificial intelligence and virtual worlds have been created for rapid technological development. This paper is aimed at exploring the effect of virtual reality as a pedagogical tool for enhancing experiential learning among undergraduate students. Considering this, it was a mixed-methods study following the design of sequential exploratory-which includes qualitative followed by quantitative part. The targeted population was undergraduate students taking education programs from Public Sector Universities of Sindh. For the qualitative part, the sample of eight undergraduate students was interviewed for exploring their perceptions about virtual reality for enhancing experiential learning. The interviewed data were thematically analyzed, which revealed seven themes. For the quantitative part, emerged seven themes were used as constructs for developing the questionnaire. It was then used for quantitative data collection having excellent reliability. A sample of 80 students was taken, and data were collected by self-administration. The quantitative data were analyzed by descriptive as well as inferential statistics. Hence, the results found a statistically significant effect of virtual reality for enhancing experiential learning. However, user-friendliness ensures the applicability of virtual reality. Thus, it concluded that the implementation of virtual reality influences experiential learning enhancement. However, the implementation of virtual reality still depends upon the user-friendly nature of technology and virtual reality. © 2022 Muhammad Mujtaba Asad et al.",Hindawi Limited
Khadragy S.; Selim N.; Hassan D.; Setoutah S.; Abdelbary O.,"Khadragy, Saada (58343707700); Selim, Nadeen (59221472900); Hassan, Dalia (59222313400); Setoutah, Samira (57218590295); Abdelbary, Osama (59171089400)",58343707700; 59221472900; 59222313400; 57218590295; 59171089400,Virtual Reality-based Technologies in Higher Education: A Mixed-Methods Study of Faculty Views in the UAE,2025,https://www.scopus.com/pages/publications/105018213434?origin=resultslist,"Background/purpose. The integration of immersive technologies in education has been increasing. Such technologies include: the virtual reality (VR)-based technologies, which have raised engagement and interactivity, and foster the development of skills in academic settings. Thus, this study aimed to explore the attitudes of faculty members in Emirati higher education institutions toward the use of VR-based technologies. It also aimed to identify the associated challenges. Materials/methods. A mixed-method approach was adopted. It involves the quantitative and qualitative approaches. A five-point Likert scale questionnaire was distributed online to faculty members in Emirati universities. 225 faculty members filled in the survey. Additionally, 22 faculty members were interviewed through in-depth interviews. The sample is considered a random sample. Quantitative data were analyzed using the SPSS program. The qualitative responses were analyzed through conducting a thematic analysis. Results. Faculty members generally exhibit positive attitudes toward the use of VR in education. The significant advantages of such use include: enhanced student engagement, improved problem-solving and critical thinking skills, and increased learning motivation. The associated challenges include high implementation costs, a lack of continuous training, and time constraints in content delivery. Conclusion. VR-based technologies enhance the quality of education, and the sampled faculty members have a positive attitude towards using such technologies. © The Author(s), 2025.",Universitepark
Hutson J.; Olsen T.,"Hutson, James (57797793000); Olsen, Trenton (58145337800)",57797793000; 58145337800,Virtual Reality and Art History: A Case Study of Digital Humanities and Immersive Learning Environments,2022,https://www.scopus.com/pages/publications/85126516903?origin=resultslist,"The potential benefits of integrating immersive realities into traditional humanities curricula have been touted over the last two decades, but budgetary and technical constraints of implementation have limited its adoption. However, recent advances in technology, along with more affordable hardware coupled with more user-friendly interfaces, have seen widespread adoption beyond that of the military and healthcare. In fact, higher education institutions are poised to adopt VR on a broader scale to enhance learning with virtual environments. This study seeks to determine the expectations and results of integrating virtual reality into coursework with students and faculty in Art History. The study surveyed students, first to ascertain the prevalence and familiarity of immersive reality technologies, as well as the perceived benefit of integration into curriculum. Next, surveys collected data on student experience relating to virtual reality assignments integrated into coursework for both face-to-face and online learners. The results provide a model for other institutions for a variety of disciplines to reinforce outcomes through strategic use of the technology. © 2022, North American Business Press. All rights reserved.",North American Business Press
Situmorang R.; Kustandi C.; Maudiarti S.; Widyaningrum R.; Ariani D.,"Situmorang, Robinson (57211244025); Kustandi, Cecep (57210157420); Maudiarti, Santi (57222118367); Widyaningrum, Retno (57222252302); Ariani, Diana (57222123846)",57211244025; 57210157420; 57222118367; 57222252302; 57222123846,Entrepreneurship Education Through Mobile Augmented Reality for Introducing SMEs in Higher Education,2021,https://www.scopus.com/pages/publications/85101573190?origin=resultslist,"Entrepreneurship Education through Augmented Reality can give advantages in the learning process. This article aims to assess the development of Mobile Augmented Reality to introduce SMEs to college students. In the indication process, we used a mixed exploratory method. The needs of students in the learning process are carried out through a qualitative approach with interviews. We identify the effectiveness of Mobile Augmented Reality through a quantitative approach, namely surveys and tests. Our findings show that 77% of students give an opinion that Mobile Augmented Reality is effective. Also, student learning outcomes show an increase at posttest. Our research confirms that students' experience as users is essential for adopting Mobile Augmented Reality in the learning process. © 2021. All rights reserved.",International Association of Online Engineering
Krajčovič M.; Matys M.; Gabajová G.; Komačka D.,"Krajčovič, Martin (36616392600); Matys, Marián (57222605556); Gabajová, Gabriela (56464306500); Komačka, Dávid (58965681300)",36616392600; 57222605556; 56464306500; 58965681300,Utilization of Immersive Virtual Reality as an Interactive Method of Assignment Presentation,2024,https://www.scopus.com/pages/publications/85191289388?origin=resultslist,"Virtual reality is a technology with many possible uses and ways to improve various processes, including the presentation of results. This paper deals with the utilization of virtual reality as a tool for assignment presentation. During the classes of manufacturing and assembly systems design, the conventional form of presentation was replaced with immersive virtual reality, where the students would present their work while wearing the virtual reality headset and walking around the 3D model of their design. The main goal was to test whether this approach had a positive impact on the students’ motivation and engagement in the presentation creation and presenting itself. To test this approach, a small case study took place at the Department of Industrial Engineering, Faculty of Mechanical Engineering at the University of Žilina. In conclusion, the overall responses to this experiment were positive; the majority of the students felt more comfortable while presenting and more motivated to put more effort into their preparation. Wearing a virtual reality headset caused the students not to have to directly face the audience, giving them more confidence while presenting. Additionally, the novelty of the virtual reality technology made the students more engaged in showing their work. There is a plan to integrate the virtual reality presentation as the stable part of this assignment. © 2024 by the authors.",Multidisciplinary Digital Publishing Institute (MDPI)
Hidayah N.P.; Wicaksono G.W.; Amiludin A.; Sakinata A.A.; Arcelia A.S.; Andesti K.; Muafika S.N.L.; Saleha M.M.,"Hidayah, Nur Putri (58024517300); Wicaksono, Galih Wasis (57216005362); Amiludin, Amiludin (58302951800); Sakinata, Annisa’ Al (59715475900); Arcelia, Allysa Sonia (59714695700); Andesti, Kiki (59715671100); Muafika, Siti Nurmala Lailatul (59716061400); Saleha, Meisya Maulidina (59715866100)",58024517300; 57216005362; 58302951800; 59715475900; 59714695700; 59715671100; 59716061400; 59715866100,Metaverse as the solution to the absence of a constitutional court moot courtroom in universities,2024,https://www.scopus.com/pages/publications/105001444922?origin=resultslist,"Courses related to procedural law are practicum courses with Course Learning Outcomes (CLO)/ Capaian Pembelajaran Mata Kuliah (CPMK) students who can simulate trials in court. In this case, the moot courtroom's urgency is to provide an infrastructure for students to conduct moot trials. One of the practicum courses is the Constitutional Court's Judicial Procedural Law. Students who take this course must be competent and able to practice in the objective realm of justice. However, based on the observation and tracing results, the service activities' partners do not have a moot courtroom in the constitutional court, so they cannot carry out moot court in the course. Digital/virtual space, known as Metaverse, is a solution for procuring infrastructure for the constitutional court's moot courtroom. The results of this service show that the Metaverse Moot Court of the Constitutional Court is an appropriate technology-based product that is the only quick solution to the absence and limitations of the Constitutional Court's moot courtroom at Partner universities. Partners do not need to spend millions to billions of Rupiahs to procure facilities and infrastructure for the Constitutional Court's moot courtroom. In addition, this product is a solution to time constraints, considering that the campus has operational hours while students are still required to be proficient in practicing proceedings at the Constitutional Court. Finally, the virtual reality technology product implemented in this pseudocourtroom provides an immersive experience like the real atmosphere in the courtroom. It makes students more excited and increases motivation to practice the trial. © Author(s).",Universitas Negeri Semarang
Chamorro-Atalaya O.; Morales-Romero G.; Quispe-Andía A.; Quispe-Guía S.; Guía-Altamirano T.; Auqui-Ramos E.; Linares-Sánchez G.; Sandoval-Nizama G.; Arévalo-Tuesta J.A.,"Chamorro-Atalaya, Omar (57729726800); Morales-Romero, Guillermo (57226641946); Quispe-Andía, Adrián (57322720800); Quispe-Guía, Shirley (57323202500); Guía-Altamirano, Teresa (57322720900); Auqui-Ramos, Elizabeth (57350933100); Linares-Sánchez, Guillermo (58162314800); Sandoval-Nizama, Genaro (57892905800); Arévalo-Tuesta, José Antonio (57396261800)",57729726800; 57226641946; 57322720800; 57323202500; 57322720900; 57350933100; 58162314800; 57892905800; 57396261800,"Contribution of Augmented Reality in Teaching and Learning, in the Midst of COVID-19: Systematic Review",2023,https://www.scopus.com/pages/publications/85151152072?origin=resultslist,"The state of emergency declared in many countries due to the pandemic led universities to consider the incursion of technological tools to give continuity to the teaching and learning process; therefore it is significant to explore results regarding the application of augmented reality (AR) in education. The objective of the research is to generate knowledge from the systematic review of the literature framed in the context of virtual teaching in the midst of COVID-19. A bibliographic review was carried out under a mixed approach, exploratory and descriptive level. The findings showed that the application of AR in learning is not exclusive to any engineering specialty, but, on the contrary, it is versatile and adapts to various curricular contents; Also, the way in which augmented reality is applied is more focused on the use of mobile augmented reality (mobile AR) technology with markerless activation. In addition, it was identified that the factors that were analysed to demonstrate the contribution of AR were: the effectiveness of learning, the predisposition to use AR and the motivation generated by AR. With which it can be concluded that AR in this context has managed to position itself as a learning resource that goes beyond a tool linked to a virtual classroom, since it allows the student to transcend towards immersion in environments with high contextual fidelity. Future research should address which factors influence the improvement of mobile AR activation sensitivity, in different contexts. © Authors.",Society for Research and Knowledge Management
Suwal A.; Wu W.; Luo Y.,"Suwal, Ashma (58701786100); Wu, Wei (55707471100); Luo, Yupeng (56139591000)",58701786100; 55707471100; 56139591000,COMPARING COLLABORATIVE LEARNING IN VARIOUS LEARNING MODALITIES,2023,https://www.scopus.com/pages/publications/85177224762?origin=resultslist,"Due to the increasingly dispersed project team composition, the architecture, engineering, and construction (AEC) industry has been practicing remote collaboration long before the COVID-19 global pandemic. On the other hand, higher education went through a deep learning curve in adapting to online teaching and learning. As a result, there are uncertainties about best practices to prepare students for redefined project team collaboration in the post-pandemic AEC industry. Therefore, this research explores and compares three different modalities, i.e., face-to-face, Zoom, and web-based social virtual reality (VR), in teaching students about collaboration using project-based learning. A mixed-method approach was utilized to capture perceptual and behavioral data to help understand the characteristics and effectiveness of collaboration in these different modalities. The results suggested comparable outcomes in project progress, but the patterns in time use, team dynamics, and perceptions of team collaboration indicated unique features of each modality. © 2023, European Council on Computing in Construction (EC3). All rights reserved.",European Council on Computing in Construction (EC3)
Marks B.; Thomas J.,"Marks, Benjy (25422214100); Thomas, Jacqueline (24466076700)",25422214100; 24466076700,Adoption of virtual reality technology in higher education: An evaluation of five teaching semesters in a purpose-designed laboratory,2022,https://www.scopus.com/pages/publications/85109674430?origin=resultslist,"Virtual and augmented (VAR) technology is in the early stages of being adopted as a teaching platform in higher education. The technology can facilitate immersive learning in environments that are not usually physically accessible to students via 3D models and interactive 360° videos. To date, adoption rates of VAR technology for teaching have not been well described across a higher education institution. Further, there is an absence of information on the optimal VAR laboratory designs and cost per student. In this study, a purpose designed virtual reality laboratory was formed in 2017 at The University of Sydney, housing 26 Oculus Rift headset units. An evaluation was conducted on the design, costs, rates of teaching adoption and student experiences over five teaching periods (2.5 years). Over this period, 4833 students were taught in the laboratory across 7952 student visits. The laboratory was used most by the Faculty of Engineering (53%), followed by the Faculty of Arts & Social Science (23.8%) and Faculty of Science (23.2%). For engineering, the units of study using the laboratory represented only 1.4% of annual faculty subjects offered. This confirms that adoption was in the initial stage of innovation diffusion. The laboratory saw a 250% increase in student numbers over the period of evaluation and 71.5% of students surveyed (n = 295) reported enhanced learning outcomes. The cost per visit was only AU$ 19.50. These findings give confidence to higher education institutions that the right VAR technology infrastructure is a sound educational investment for the future. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Springer
Kannegiser S.,"Kannegiser, Samantha (57209217080)",57209217080,Effects of an augmented reality library orientation on anxiety and self-efficacy: An exploratory study,2021,https://www.scopus.com/pages/publications/85105472798?origin=resultslist,"Academic libraries use scavenger hunt library orientations to engage students and teach them about the library. Libraries are also starting to use augmented reality (AR) technology in orientations, instruction, and programming. Some libraries have tried augmented reality scavenger hunts for freshman library orientations, but studies have not been done to compare the traditional and AR orientations. This exploratory, quasi-experimental study investigates if the AR library orientation impacts freshman undergraduates’ perceptions of the library as measured by students’ anxiety and confidence levels. Two groups of first-time, first-year undergraduate students participated in a library orientation in Summer 2019. One received the traditional scavenger hunt model, and another experienced an augmented reality version of the scavenger hunt. Both groups took a pre-orientation survey to determine their comfort with the libraries and librarians in general, and then a post-orientation questionnaire to determine any change in perception of libraries and librarians as well as their satisfaction with the orientation experience. By comparing pre- and post-survey results from both sets of students, this study determined that while both orientations had a positive impact on students’ perceptions of the library, the AR orientation had a significant impact on students’ perceptions of librarians’ desire to help them. © 2021 Samantha Kannegiser.",Association of College and Research Libraries
Kluge M.G.; Maltby S.; Kuhne C.; Evans D.J.R.; Walker F.R.,"Kluge, Murielle G. (57192387182); Maltby, Steven (6507446799); Kuhne, Caroline (57935863100); Evans, Darrell J. R. (36048070200); Walker, Frederick Rohan (35365234800)",57192387182; 6507446799; 57935863100; 36048070200; 35365234800,"Comparing approaches for selection, development, and deployment of extended reality (XR) teaching applications: A case study at The University of Newcastle Australia",2023,https://www.scopus.com/pages/publications/85140309987?origin=resultslist,"The use of extended reality (XR) technology in education offers many advantages for transferring knowledge and practical skills training at the higher education level. As a result, many Universities over the past 5 + years have undertaken pilot programs to both develop XR content and assess how to best implement it within existing teaching and learning systems. Unfortunately, very few of these efforts have included structured evaluation or documentation. As such, limited published evidence exists to inform processes and approaches that may assist or hinder broad scale implementation. This leads many Universities to unnecessarily commit significant time and resources to testing identical or similar approaches, resulting in repeated identification of the same or similar challenges. In response to this situation, The University of Newcastle, Australia decided to systematically document the approach for selection, development and implementation of four new virtual-reality (VR) teaching applications. The current paper contains a detailed intrinsic case study, outlining the process and critical elements that shaped the selection of suitable teaching content, software development, hardware solutions and implementation. Details are provided on how decisions were made, what components were considered helpful, challenges identified, and important lessons outlined. These findings will be useful to organisations and individuals as they look to develop pathways and processes to integrate XR technology, particularly within their existing training and educational frameworks. © 2022, The Author(s).",Springer
dos Anjos F.E.V.; Rocha L.A.O.; Pacheco R.; da Silva D.O.,"dos Anjos, Fernando Elemar Vicente (57953591600); Rocha, Luiz Alberto Oliveira (7102199528); Pacheco, Rodrigo (57223449144); da Silva, Débora Oliveira (56301094900)",57953591600; 7102199528; 57223449144; 56301094900,Teaching-learning strategies to production planning and control concepts: Application of scenarios to sequencing production with virtual reality support,2021,https://www.scopus.com/pages/publications/85115251511?origin=resultslist,"This paper aims to present scenarios to be applied in higher education to the theme of production planning and control, addressing factors of the production system and indicators arising from this process and the application of virtual reality to support the process. The applied method combines the development of six scenarios for virtual reality application and the discussion about the impacts in indicators from the production planning and control, for example, inventory in the process, manufacturing lead-time, use of equipment, and punctual delivery attendance. Findings revealed that the teaching-learning process of production planning and control, when applied through scenarios, generates opportunities for students to learn the impact in the indicators. The virtual reality in this environment supports creating differentiated teaching-learning environments to generate the most significant knowledge for students which positively impacts the future in the world of work. In addition, it allows people involved in the teaching-learning processes of production engineering to apply the concepts presented in the sequencing process, lean about the impacts of decisions on production sequencing indicators and appreciate the support of virtual reality to generate an environment more cognitive for students. © Authors This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License (CC BY-NC-ND 4.0).",Society for Research and Knowledge Management
